nm;A
278.000000;0.071300
277.000000;0.072019
276.000000;0.073489
275.000000;0.073972
274.000000;0.074629
273.000000;0.074570
272.000000;0.074825
271.000000;0.075204
270.000000;0.075243
269.000000;0.075105
268.000000;0.074981
267.000000;0.075172
266.000000;0.075701
265.000000;0.075889
264.000000;0.075675
263.000000;0.075867
262.000000;0.076375
261.000000;0.076431
260.000000;0.076632
259.000000;0.077006
258.000000;0.078218
257.000000;0.078713
256.000000;0.079368
255.000000;0.080762
254.000000;0.081480
253.000000;0.082353
252.000000;0.083519
251.000000;0.083982
250.000000;0.084137
