WE(1).Potential (V)	WE(1).Current (A)	Time (s)	Scan	Column 5 (V/s)
-2.09747314453125	-8.843994140625E-05	166.581587579422	2	
-2.100830078125	-8.819580078125E-05	166.612105579345	2	
-2.1026611328125	-8.795166015625E-05	166.642623579268	2	
-2.105712890625	-8.7677001953125E-05	166.673141579191	2	
-2.10723876953125	-8.7371826171875E-05	166.703659579114	2	
-2.11090087890625	-8.7066650390625E-05	166.734177579037	2	
-2.1124267578125	-8.6761474609375E-05	166.76469557896	2	
-2.1148681640625	-8.6517333984375E-05	166.795213578883	2	
-2.1173095703125	-8.6334228515625E-05	166.825731578806	2	
-2.11944580078125	-8.6181640625E-05	166.856249578728	2	
-2.12158203125	-8.59375E-05	166.886767578651	2	
-2.1240234375	-8.55712890625E-05	166.917285578574	2	
-2.1270751953125	-8.5296630859375E-05	166.947803578497	2	
-2.1295166015625	-8.50830078125E-05	166.97832157842	2	
-2.1319580078125	-8.48388671875E-05	167.008839578343	2	
-2.1337890625	-8.4686279296875E-05	167.039357578266	2	
-2.1368408203125	-8.447265625E-05	167.069875578189	2	
-2.1392822265625	-8.416748046875E-05	167.100393578112	2	
-2.1417236328125	-8.3892822265625E-05	167.130911578035	2	
-2.1441650390625	-8.3709716796875E-05	167.161429577958	2	
-2.14691162109375	-8.3526611328125E-05	167.191947577881	2	
-2.1490478515625	-8.33740234375E-05	167.222465577804	2	
-2.1514892578125	-8.319091796875E-05	167.252983577727	2	
-2.1539306640625	-8.294677734375E-05	167.28350157765	2	
-2.1563720703125	-8.2733154296875E-05	167.314019577573	2	
-2.15972900390625	-8.2611083984375E-05	167.344537577496	2	
-2.16156005859375	-8.2550048828125E-05	167.375055577419	2	
-2.1636962890625	-8.2366943359375E-05	167.405573577342	2	
-2.16552734375	-8.2122802734375E-05	167.436091577265	2	
-2.1685791015625	-8.19091796875E-05	167.466609577187	2	
-2.17041015625	-8.1756591796875E-05	167.49712757711	2	
-2.1728515625	-8.172607421875E-05	167.527645577033	2	
-2.17529296875	-8.160400390625E-05	167.558163576956	2	
-2.1783447265625	-8.1512451171875E-05	167.588681576879	2	
-2.18017578125	-8.1390380859375E-05	167.619199576802	2	
-2.18292236328125	-8.1298828125E-05	167.649717576725	2	
-2.18536376953125	-8.11767578125E-05	167.680235576648	2	
-2.1875	-8.1024169921875E-05	167.710753576571	2	
-2.19024658203125	-8.087158203125E-05	167.741271576494	2	
-2.19268798828125	-8.0810546875E-05	167.771789576417	2	
-2.19482421875	-8.0780029296875E-05	167.80230757634	2	
-2.19818115234375	-8.0657958984375E-05	167.832825576263	2	
-2.19970703125	-8.062744140625E-05	167.863343576186	2	
-2.2021484375	-8.056640625E-05	167.893861576109	2	
-2.2039794921875	-8.050537109375E-05	167.924379576032	2	
-2.20703125	-8.0535888671875E-05	167.954897575955	2	
-2.2100830078125	-8.0535888671875E-05	167.985415575878	2	
-2.21160888671875	-8.0474853515625E-05	168.015933575801	2	
-2.21435546875	-8.038330078125E-05	168.046451575723	2	
-2.216796875	-8.0413818359375E-05	168.076969575646	2	
-2.21954345703125	-8.04443359375E-05	168.107487575569	2	
-2.22198486328125	-8.0413818359375E-05	168.138005575492	2	
-2.2247314453125	-8.04443359375E-05	168.168523575415	2	
-2.2259521484375	-8.0474853515625E-05	168.199041575338	2	
-2.22930908203125	-8.0474853515625E-05	168.229559575261	2	
-2.23297119140625	-8.050537109375E-05	168.260077575184	2	
-2.2332763671875	-8.0596923828125E-05	168.290595575107	2	
-2.2369384765625	-8.0657958984375E-05	168.32111357503	2	
-2.23876953125	-8.0810546875E-05	168.351631574953	2	
-2.24090576171875	-8.0841064453125E-05	168.382149574876	2	
-2.24395751953125	-8.0902099609375E-05	168.412667574799	2	
-2.24609375	-8.099365234375E-05	168.443185574722	2	
-2.24365234375	-8.0352783203125E-05	168.473703574645	2	
-2.24090576171875	-7.9833984375E-05	168.504221574568	2	
-2.2393798828125	-7.9376220703125E-05	168.534739574491	2	
-2.237548828125	-7.8948974609375E-05	168.565257574414	2	
-2.235107421875	-7.855224609375E-05	168.595775574337	2	
-2.23175048828125	-7.8155517578125E-05	168.62629357426	2	
-2.2296142578125	-7.781982421875E-05	168.656811574182	2	
-2.2271728515625	-7.7484130859375E-05	168.687329574105	2	
-2.2247314453125	-7.720947265625E-05	168.717847574028	2	
-2.222900390625	-7.696533203125E-05	168.748365573951	2	
-2.2198486328125	-7.672119140625E-05	168.778883573874	2	
-2.2174072265625	-7.6507568359375E-05	168.809401573797	2	
-2.2149658203125	-7.623291015625E-05	168.83991957372	2	
-2.2125244140625	-7.598876953125E-05	168.870437573643	2	
-2.20947265625	-7.5714111328125E-05	168.900955573566	2	
-2.20733642578125	-7.5531005859375E-05	168.931473573489	2	
-2.20489501953125	-7.5408935546875E-05	168.961991573412	2	
-2.2015380859375	-7.525634765625E-05	168.992509573335	2	
-2.1990966796875	-7.5103759765625E-05	169.023027573258	2	
-2.1978759765625	-7.489013671875E-05	169.053545573181	2	
-2.19451904296875	-7.470703125E-05	169.084063573104	2	
-2.19207763671875	-7.464599609375E-05	169.114581573027	2	
-2.1905517578125	-7.452392578125E-05	169.14509957295	2	
-2.18780517578125	-7.440185546875E-05	169.175617572873	2	
-2.1856689453125	-7.43408203125E-05	169.206135572796	2	
-2.18353271484375	-7.4249267578125E-05	169.236653572719	2	
-2.18048095703125	-7.40966796875E-05	169.267171572641	2	
-2.1783447265625	-7.4005126953125E-05	169.297689572564	2	
-2.1759033203125	-7.391357421875E-05	169.328207572487	2	
-2.17315673828125	-7.3760986328125E-05	169.35872557241	2	
-2.17041015625	-7.373046875E-05	169.389243572333	2	
-2.1685791015625	-7.3760986328125E-05	169.419761572256	2	
-2.16583251953125	-7.3699951171875E-05	169.450279572179	2	
-2.1630859375	-7.3638916015625E-05	169.480797572102	2	
-2.1612548828125	-7.3638916015625E-05	169.511315572025	2	
-2.1588134765625	-7.36083984375E-05	169.541833571948	2	
-2.1563720703125	-7.366943359375E-05	169.572351571871	2	
-2.1533203125	-7.366943359375E-05	169.602869571794	2	
