Time (s)	WE(1).Current (A)	WE(1).Potential (V)	Scan
184.385665534471	-7.1014404296875E-05	-1.2579345703125	3
184.410065534409	-7.11669921875E-05	-1.259765625	3
184.434465534348	-7.09228515625E-05	-1.26312255859375	3
184.458865534286	-7.0892333984375E-05	-1.2652587890625	3
184.483265534225	-7.0770263671875E-05	-1.2677001953125	3
184.507665534163	-7.073974609375E-05	-1.2701416015625	3
184.532065534101	-7.0556640625E-05	-1.2725830078125	3
184.55646553404	-7.04345703125E-05	-1.2750244140625	3
184.580865533978	-7.03125E-05	-1.2774658203125	3
184.605265533917	-7.012939453125E-05	-1.28021240234375	3
184.629665533855	-7.000732421875E-05	-1.2823486328125	3
184.654065533793	-6.9854736328125E-05	-1.28387451171875	3
184.678465533732	-6.976318359375E-05	-1.287841796875	3
184.70286553367	-6.951904296875E-05	-1.290283203125	3
184.727265533608	-6.939697265625E-05	-1.29150390625	3
184.751665533547	-6.9183349609375E-05	-1.2945556640625	3
184.776065533485	-6.890869140625E-05	-1.29730224609375	3
184.800465533424	-6.8817138671875E-05	-1.29974365234375	3
184.824865533362	-6.87255859375E-05	-1.3018798828125	3
184.8492655333	-6.8450927734375E-05	-1.30462646484375	3
184.873665533239	-6.829833984375E-05	-1.307373046875	3
184.898065533177	-6.8115234375E-05	-1.309814453125	3
184.922465533116	-6.7962646484375E-05	-1.31134033203125	3
184.946865533054	-6.7718505859375E-05	-1.314697265625	3
184.971265532992	-6.7657470703125E-05	-1.3165283203125	3
184.995665532931	-6.7413330078125E-05	-1.3189697265625	3
185.020065532869	-6.7230224609375E-05	-1.322021484375	3
185.044465532808	-6.719970703125E-05	-1.3238525390625	3
185.068865532746	-6.6925048828125E-05	-1.32659912109375	3
185.093265532684	-6.6680908203125E-05	-1.3287353515625	3
185.117665532623	-6.65283203125E-05	-1.3311767578125	3
185.142065532561	-6.6436767578125E-05	-1.334228515625	3
185.1664655325	-6.6314697265625E-05	-1.3360595703125	3
185.190865532438	-6.6162109375E-05	-1.3385009765625	3
185.215265532376	-6.60400390625E-05	-1.3409423828125	3
185.239665532315	-6.5887451171875E-05	-1.3433837890625	3
185.264065532253	-6.5765380859375E-05	-1.3458251953125	3
185.288465532192	-6.5643310546875E-05	-1.34918212890625	3
185.31286553213	-6.5521240234375E-05	-1.351318359375	3
185.337265532068	-6.536865234375E-05	-1.3531494140625	3
185.361665532007	-6.5277099609375E-05	-1.35528564453125	3
185.386065531945	-6.512451171875E-05	-1.3580322265625	3
185.410465531884	-6.50634765625E-05	-1.35986328125	3
185.434865531822	-6.494140625E-05	-1.3629150390625	3
185.45926553176	-6.4788818359375E-05	-1.365966796875	3
185.483665531699	-6.4697265625E-05	-1.368408203125	3
185.508065531637	-6.463623046875E-05	-1.3702392578125	3
185.532465531576	-6.4544677734375E-05	-1.3726806640625	3
185.556865531514	-6.4422607421875E-05	-1.37542724609375	3
185.581265531452	-6.4361572265625E-05	-1.3775634765625	3
185.605665531391	-6.4300537109375E-05	-1.38031005859375	3
185.630065531329	-6.4208984375E-05	-1.3824462890625	3
185.654465531268	-6.414794921875E-05	-1.3848876953125	3
185.678865531206	-6.4056396484375E-05	-1.3873291015625	3
185.703265531144	-6.3995361328125E-05	-1.3897705078125	3
185.727665531083	-6.3934326171875E-05	-1.39251708984375	3
185.752065531021	-6.3873291015625E-05	-1.39434814453125	3
185.77646553096	-6.3873291015625E-05	-1.3970947265625	3
185.800865530898	-6.3720703125E-05	-1.39984130859375	3
185.825265530836	-6.378173828125E-05	-1.40167236328125	3
185.849665530775	-6.3568115234375E-05	-1.4044189453125	3
185.874065530713	-6.3690185546875E-05	-1.4068603515625	3
185.898465530651	-6.3507080078125E-05	-1.40869140625	3
185.92286553059	-6.3568115234375E-05	-1.4117431640625	3
185.947265530528	-6.3507080078125E-05	-1.41387939453125	3
185.971665530467	-6.3385009765625E-05	-1.416015625	3
185.996065530405	-6.3385009765625E-05	-1.4190673828125	3
186.020465530343	-6.3323974609375E-05	-1.42181396484375	3
186.044865530282	-6.3323974609375E-05	-1.42425537109375	3
186.06926553022	-6.3201904296875E-05	-1.42608642578125	3
186.093665530159	-6.329345703125E-05	-1.4288330078125	3
186.118065530097	-6.317138671875E-05	-1.4306640625	3
186.142465530035	-6.317138671875E-05	-1.43280029296875	3
186.166865529974	-6.3079833984375E-05	-1.4361572265625	3
186.191265529912	-6.3140869140625E-05	-1.43798828125	3
186.215665529851	-6.31103515625E-05	-1.4404296875	3
186.240065529789	-6.3079833984375E-05	-1.4434814453125	3
186.264465529727	-6.3018798828125E-05	-1.4459228515625	3
186.288865529666	-6.3079833984375E-05	-1.44775390625	3
186.313265529604	-6.3018798828125E-05	-1.45050048828125	3
186.337665529543	-6.298828125E-05	-1.4532470703125	3
186.362065529481	-6.298828125E-05	-1.455078125	3
186.386465529419	-6.292724609375E-05	-1.45751953125	3
186.410865529358	-6.3079833984375E-05	-1.46026611328125	3
