nm;A
334.000000;0.174958
333.000000;0.177135
332.000000;0.179628
331.000000;0.177547
330.000000;0.173944
329.000000;0.180350
328.000000;0.191346
327.000000;0.187327
326.000000;0.187896
325.000000;0.186455
324.000000;0.180451
323.000000;0.176352
322.000000;0.180447
321.000000;0.193993
320.000000;0.193478
319.000000;0.185857
318.000000;0.186685
317.000000;0.190683
316.000000;0.188450
315.000000;0.187621
314.000000;0.190959
313.000000;0.190348
312.000000;0.193705
311.000000;0.192885
310.000000;0.189946
309.000000;0.188838
308.000000;0.188141
307.000000;0.188018
306.000000;0.191185
305.000000;0.190429
304.000000;0.188018
303.000000;0.194090
302.000000;0.195186
301.000000;0.190319
300.000000;0.189555
299.000000;0.185673
298.000000;0.181716
297.000000;0.175966
296.000000;0.171688
295.000000;0.159979
294.000000;0.142252
293.000000;0.116741
292.000000;0.084456
291.000000;0.040154
290.000000;-0.022631
289.000000;-0.098052
288.000000;-0.202177
287.000000;-0.338002
286.000000;-0.498171
285.000000;-0.662300
284.000000;-0.801809
283.000000;-0.949499
282.000000;-1.064065
281.000000;-1.067789
280.000000;-1.040341
279.000000;-1.067587
278.000000;-1.116485
277.000000;-1.142049
276.000000;-1.137308
275.000000;-1.186019
274.000000;-1.278273
273.000000;-1.155736
272.000000;-1.064573
271.000000;-1.032571
270.000000;-0.997118
269.000000;-0.934854
268.000000;-0.852043
267.000000;-0.841527
266.000000;-0.813788
265.000000;-0.773740
264.000000;-0.736561
263.000000;-0.717452
262.000000;-0.695963
261.000000;-0.686879
260.000000;-0.692821
259.000000;-0.748550
258.000000;-0.795008
257.000000;-0.833950
256.000000;-0.887699
255.000000;-0.983319
254.000000;-1.121495
253.000000;-1.162613
252.000000;-1.245670
251.000000;-1.496896
250.000000;-1.612232
